Time,co2,temp,hum,lux,rad
85500,400,16.06950435,48.27602022,1059.721667,8.371801169
85800,400,15.72866661,47.59226006,757.8018182,5.986634364
86100,400,15.3971036,46.69290969,1046.874167,8.270305919
86400,400,15.00951521,46.39690123,669.5463636,5.289416272
86700,400,15.12210925,46.6705055,236.3183333,1.866914833
87000,400,15.37766806,47.920825,193.1063636,1.525540272
87300,400,15.59281097,49.00084853,172.8781818,1.365737636
87600,400,15.76475567,49.50473238,143.3325,1.13232675
87900,400,15.87843254,49.56385202,125.4536364,0.991083728
88200,400,15.97132157,49.39604056,161.7358333,1.277713083
88500,400,16.05370077,49.42120807,226.2118182,1.787073364
88800,400,16.13835978,49.75123933,222.1525,1.75500475
89100,400,16.2085677,49.96989307,314.0881818,2.481296636
89400,400,16.28461024,50.13269676,501.7427273,3.963767546
89700,400,16.35045201,50.32736569,542.6391667,4.286849417
90000,400,16.3963558,50.60804557,459.9236364,3.633396728
90300,460.6363636,16.38190461,51.24758821,295.9716667,2.338176167
90600,1071,16.45987928,51.09741621,258.4845455,2.042027909
90900,402.4545455,16.48008779,51.51926994,157.1533333,1.241511333
91200,402,16.45802458,52.10993267,121.59,0.960561
91500,402.8333333,16.4519968,52.65192484,135.8318182,1.073071364
91800,403,16.470737,53.08633456,165.8316667,1.310070167
92100,403,16.5062468,53.62228003,168.4827273,1.331013546
92400,403.5454545,16.53831769,54.41933344,140.4858333,1.109838083
92700,404,16.57023403,55.05731661,120.2281818,0.949802636
93000,404.3636364,16.5914472,55.36137493,113.2641667,0.894786917
93300,405,16.60871912,55.85712303,100.3772727,0.792980454
93600,405,16.6348009,56.70480582,100.8333333,0.796583333
93900,405,16.66018716,57.64599442,96.74272727,0.764267545
94200,405,16.67595216,58.52408238,86.13636364,0.680477273
94500,405.7272727,16.69430601,59.2456885,72.01416667,0.568911917
94800,406,16.71397362,59.61727397,64.54636364,0.509916273
95100,406,16.72873399,59.72174925,47.22333333,0.373064333
95400,406,16.73947583,59.70559459,50.45454545,0.398590909
95700,406.7272727,16.74998583,59.6466343,65.06916667,0.514046417
96000,407,16.75153142,59.61906514,61.06090909,0.482381182
96300,407,16.7461605,59.55824851,47.80181818,0.377634364
96600,407,16.70470009,59.32362004,41.94416667,0.331358917
96900,407,16.71119156,59.39280035,18.25454545,0.144210909
97200,407.2727273,16.71768303,59.39859313,14.17,0.111943
97500,408,16.71304626,59.34325739,9.32,0.073628
97800,408,16.69983149,59.28308781,6.67,0.052693
98100,408,16.68568936,59.24828248,5.754545455,0.045460909
98400,408,16.67135403,59.21861863,5,0.0395
98700,408,16.65230467,59.1869635,5,0.0395
99000,408,16.63862622,59.14096075,4.17,0.032943
99300,408,16.62494778,59.08441033,4.930833333,0.038953583
99600,408,16.61428323,59.04897474,5,0.0395
99900,408,16.60929872,59.05604317,3.33,0.026307
100200,408,16.60269134,59.06615851,2.047272727,0.016173455
100500,408,16.59484749,59.06094116,0.83,0.006557
100800,408,16.58460798,59.07291235,0.83,0.006557
101100,408,16.577421,59.1005099,0.83,0.006557
101400,408,16.56745197,59.12527617,0.069166667,0.000546417
101700,408,16.55910581,59.13197486,0,0
102000,408.4545455,16.55319395,59.14857503,0,0
102300,409,16.55029598,59.14978975,0,0
102600,409,16.5455433,59.14450488,0,0
102900,409,16.54241349,59.16865962,0,0
